WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (106.8084737 -6.2624209)",1466.0,11.0,Kota Jakarta Selatan,3174.0,2.0,-6.332973,106.807915,1.0
"POINT (106.7591314 -6.1651242)",1467.0,11.0,Kota Jakarta Timur,3175.0,2.0,-6.211544,106.845172,1.0
"POINT (106.8216161 -6.1890172)",1468.0,11.0,Kota Jakarta Pusat,3171.0,2.0,-6.211544,106.845172,1.0
"POINT (106.8944006 -6.2231483)",1469.0,11.0,Kota Jakarta Barat,3173.0,2.0,-6.211544,106.845172,1.0
"POINT (106.8863808 -6.1537284)",1470.0,11.0,Kota Jakarta Utara,3172.0,2.0,-6.211544,106.845172,1.0
"POINT (106.5983561 -5.7383765)",1465.0,11.0,Kabupaten Kepulauan Seribu,3101.0,2.0,-5.7985266,106.5071982,1.0
